;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
53;DTF_theta_SLEEP_AVGCC;0.5575757575757576;0.6818181818181818;0.5333333333333333;0.6216216216216216
54;PDC_broadband_AWAKE_MOD;0.5575757575757576;0.6818181818181818;0.5333333333333333;0.6216216216216216
55;DTF_broadband_AWAKE_GE;0.5575757575757575;0.6363636363636364;0.6;0.6216216216216216
56;PDC_alpha_SLEEP_AVGCC;0.5575757575757575;0.6363636363636364;0.4666666666666667;0.5675675675675675
57;DTF_theta_AWAKE_GE;0.5575757575757575;0.5909090909090909;0.6;0.5945945945945946
58;DTF_alpha_AWAKE_MOD;0.5545454545454546;0.45454545454545453;0.7333333333333334;0.5675675675675675
59;DTF_delta_AWAKE_DA;0.5545454545454546;0.5454545454545454;0.7333333333333334;0.6216216216216216
60;PDC_alpha_AWAKE_GRC;0.5545454545454545;0.45454545454545453;0.8;0.5945945945945946
61;DTF_alpha_SLEEP_GE;0.5515151515151516;0.6363636363636364;0.5333333333333333;0.5945945945945946
62;DTF_delta_SLEEP_MOD;0.5515151515151515;0.5909090909090909;0.6;0.5945945945945946
63;DTF_theta_SLEEP_GRC;0.5484848484848486;0.5;0.6666666666666667;0.5675675675675675
64;PDC_beta_SLEEP_GRC;0.5484848484848485;0.8181818181818182;0.4;0.6486486486486487
65;DTF_broadband_SLEEP_GE;0.5454545454545456;0.6818181818181818;0.5333333333333333;0.6216216216216216
66;DTF_delta_SLEEP_GE;0.5454545454545454;0.5909090909090909;0.6;0.5945945945945946
67;DTF_theta_AWAKE_AVGCC;0.5424242424242425;0.7727272727272727;0.4;0.6216216216216216
68;PDC_beta_AWAKE_MOD;0.5424242424242424;0.6363636363636364;0.6;0.6216216216216216
69;PDC_theta_SLEEP_GRC;0.5424242424242424;0.5909090909090909;0.4666666666666667;0.5405405405405406
70;PDC_delta_SLEEP_MOD;0.5393939393939394;0.5909090909090909;0.6;0.5945945945945946
71;DTF_alpha_SLEEP_GRC;0.5393939393939394;0.5909090909090909;0.5333333333333333;0.5675675675675675
72;PDC_broadband_SLEEP_AVGCC;0.5363636363636364;0.5909090909090909;0.4666666666666667;0.5405405405405406
73;DTF_alpha_AWAKE_GE;0.5363636363636363;0.6818181818181818;0.5333333333333333;0.6216216216216216
74;PDC_beta_SLEEP_MOD;0.5303030303030303;0.6818181818181818;0.4666666666666667;0.5945945945945946
75;PDC_alpha_SLEEP_MOD;0.5303030303030303;0.5454545454545454;0.6;0.5675675675675675
76;DTF_theta_SLEEP_DA;0.5272727272727272;0.5909090909090909;0.5333333333333333;0.5675675675675675
77;PDC_theta_AWAKE_GE;0.5242424242424243;0.5454545454545454;0.5333333333333333;0.5405405405405406
78;DTF_broadband_AWAKE_DA;0.5242424242424242;0.5;0.6;0.5405405405405406
79;DTF_alpha_SLEEP_DA;0.5242424242424242;0.5454545454545454;0.6;0.5675675675675675
80;PDC_theta_AWAKE_AVGCC;0.5242424242424242;0.5909090909090909;0.5333333333333333;0.5675675675675675
81;PDC_alpha_AWAKE_AVGCC;0.5181818181818181;0.5454545454545454;0.5333333333333333;0.5405405405405406
82;PDC_alpha_AWAKE_GE;0.5151515151515151;0.6363636363636364;0.4666666666666667;0.5675675675675675
83;PDC_broadband_SLEEP_MOD;0.509090909090909;0.6818181818181818;0.4;0.5675675675675675
84;PDC_delta_AWAKE_AVGCC;0.509090909090909;0.45454545454545453;0.6;0.5135135135135135
85;PDC_broadband_AWAKE_AVGCC;0.5060606060606061;0.45454545454545453;0.6;0.5135135135135135
86;DTF_broadband_SLEEP_DA;0.5060606060606061;0.4090909090909091;0.6666666666666667;0.5135135135135135
87;PDC_beta_AWAKE_AVGCC;0.503030303030303;0.5;0.5333333333333333;0.5135135135135135
88;DTF_theta_AWAKE_DA;0.5;0.5;0.6;0.5405405405405406
89;PDC_broadband_AWAKE_GE;0.5;0.5454545454545454;0.4666666666666667;0.5135135135135135
